danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,,,,,,,,
0.771,0.566,1,-5.607,1,0.264,0.0939,1.07E-05,0.109,0.232,146.098,Dark Trap,,,,,,,,
0.136,0.821,3,-5.454,1,0.16,0.0965,0.0291,0.325,0.0362,192.94,Dark Trap,,,,,,,,
0.476,0.495,7,-6.095,1,0.0242,3.28E-05,0.915,0.506,0.114,180,Dark Trap,,,,,,,,
0.499,0.893,5,-5.803,1,0.14,0.0731,1.03E-06,0.0907,0.108,115.044,Dark Trap,,,,,,,,
0.851,0.634,11,-8.672,0,0.196,0.26,0.882,0.0766,0.0399,135.017,Dark Trap,,,,,,,,
0.241,0.928,10,-2.018,1,0.0543,3.26E-05,0,0.612,0.403,120.229,Dark Trap,,,,,,,,
0.622,0.635,0,-6.501,0,0.0418,0.651,7.88E-06,0.119,0.602,119.922,Dark Trap,,,,,,,,
0.745,0.703,7,-10.077,1,0.149,0.0345,2.54E-06,0.095,0.402,144.933,Dark Trap,,,,,,,,
0.855,0.659,2,-5.867,1,0.092,0.0773,0,0.0957,0.736,119.989,Dark Trap,,,,,,,,
0.549,0.44,4,-12.024,0,0.472,0.632,0.000779,0.0909,0.132,218.41,Dark Trap,,,,,,,,
0.702,0.567,11,-10.223,0,0.197,0.604,3.30E-05,0.359,0.195,120.081,Dark Trap,,,,,,,,
0.53,0.732,1,-5.921,1,0.235,0.0608,7.35E-05,0.073,0.458,132.022,Dark Trap,,,,,,,,
0.726,0.549,7,-7.115,1,0.0925,0.00587,3.62E-05,0.345,0.0855,138.038,Dark Trap,,,,,,,,
0.708,0.423,2,-7.583,1,0.0555,0.0156,0.000113,0.136,0.0712,124.989,Dark Trap,,,,,,,,
0.66,0.604,0,-7,1,0.421,0.247,0.000128,0.196,0.435,155.196,Dark Trap,,,,,,,,
0.447,0.652,1,-3.729,1,0.0315,0.0432,0.00371,0.184,0.0367,117.009,Dark Trap,,,,,,,,
0.278,0.47,2,-15.062,1,0.0456,8.60E-05,0.00235,0.148,0.0775,137.961,Dark Trap,,,,,,,,
0.321,0.949,0,-7.297,0,0.555,0.00334,0.217,0.579,0.196,154.996,Dark Trap,,,,,,,,
0.542,0.923,9,-5.924,1,0.306,0.00334,0.505,0.397,0.321,149.883,Dark Trap,,,,,,,,
0.688,0.658,1,-4.155,1,0.0695,0.105,1.89E-06,0.335,0.28,151.23,Dark Trap,,,,,,,,
0.953,0.38,8,-4.941,1,0.261,0.00957,0,0.127,0.128,133.941,Dark Trap,,,,,,,,
0.881,0.742,0,-3.736,1,0.0535,0.14,2.49E-06,0.156,0.432,116.997,Dark Trap,,,,,,,,
0.897,0.662,1,-6.903,0,0.292,0.0852,0,0.534,0.389,112.511,Dark Trap,,,,,,,,
0.705,0.619,1,-5.862,1,0.085,0.143,0,0.176,0.465,146.027,Dark Trap,,,,,,,,
0.782,0.449,11,-10.708,0,0.364,0.268,4.11E-05,0.111,0.34,116.056,Dark Trap,,,,,,,,
0.643,0.82,11,-6.281,1,0.174,0.186,9.47E-06,0.101,0.266,153.102,Dark Trap,,,,,,,,
0.73,0.581,6,-5.833,0,0.0828,0.0295,1.30E-05,0.106,0.359,137.98,Dark Trap,,,,,,,,
0.648,0.543,4,-9.082,0,0.213,0.126,0,0.101,0.192,159.927,Dark Trap,,,,,,,,
0.481,0.604,5,-6.299,0,0.377,0.149,0,0.162,0.257,160.078,Dark Trap,,,,,,,,
0.738,0.581,3,-6.776,0,0.217,0.28,0,0.101,0.635,157.967,Dark Trap,,,,,,,,
0.84,0.539,7,-6.146,1,0.0965,0.0423,1.34E-06,0.124,0.07,140.016,Dark Trap,,,,,,,,
0.936,0.704,5,-5.47,0,0.457,0.0632,0,0.104,0.566,130.022,Dark Trap,,,,,,,,
